metric,period,first_disagreement_week,final_disagreement_week,duration_weeks,c2_only,d2_only,recurrence_count,resolved_within_one_week,resolved_within_four_weeks,persistent_4_weeks,persistent_8_weeks,persistent_13_weeks,persistent_26_weeks
TOP_6,POST_WARMUP,2024-03-11T00:00:00+00:00,2024-03-11T00:00:00+00:00,1,PEPE-USDT,FET-USDT,1,True,True,False,False,False,False
TOP_6,POST_WARMUP,2024-03-18T00:00:00+00:00,2024-03-25T00:00:00+00:00,2,PEPE-USDT,DOGE-USDT,4,False,True,False,False,False,False
TOP_6,POST_WARMUP,2024-04-01T00:00:00+00:00,2024-04-01T00:00:00+00:00,1,PEPE-USDT,SHIB-USDT,4,True,True,False,False,False,False
TOP_6,POST_WARMUP,2024-05-20T00:00:00+00:00,2024-06-03T00:00:00+00:00,3,PEPE-USDT,SHIB-USDT,4,False,True,False,False,False,False
TOP_6,POST_WARMUP,2024-06-10T00:00:00+00:00,2024-06-10T00:00:00+00:00,1,PEPE-USDT,XRP-USDT,1,True,True,False,False,False,False
TOP_6,POST_WARMUP,2024-06-17T00:00:00+00:00,2024-06-17T00:00:00+00:00,1,PEPE-USDT,ONDO-USDT,2,True,True,False,False,False,False
TOP_6,POST_WARMUP,2024-06-24T00:00:00+00:00,2024-06-24T00:00:00+00:00,1,PEPE-USDT,DOGE-USDT,4,True,True,False,False,False,False
TOP_6,POST_WARMUP,2024-07-01T00:00:00+00:00,2024-07-01T00:00:00+00:00,1,GRAM-USDT;PEPE-USDT,JASMY-USDT;XRP-USDT,1,True,True,False,False,False,False
TOP_6,POST_WARMUP,2024-07-08T00:00:00+00:00,2024-07-08T00:00:00+00:00,1,PEPE-USDT,NEAR-USDT,1,True,True,False,False,False,False
TOP_6,POST_WARMUP,2024-07-15T00:00:00+00:00,2024-07-15T00:00:00+00:00,1,GRAM-USDT;PEPE-USDT,ONDO-USDT;WIF-USDT,1,True,True,False,False,False,False
TOP_6,POST_WARMUP,2024-07-22T00:00:00+00:00,2024-07-22T00:00:00+00:00,1,PEPE-USDT,WIF-USDT,1,True,True,False,False,False,False
TOP_6,POST_WARMUP,2024-07-29T00:00:00+00:00,2024-08-05T00:00:00+00:00,2,PEPE-USDT,ONDO-USDT,2,False,True,False,False,False,False
TOP_6,POST_WARMUP,2024-08-12T00:00:00+00:00,2024-08-19T00:00:00+00:00,2,PEPE-USDT,DOGE-USDT,4,False,True,False,False,False,False
TOP_6,POST_WARMUP,2024-08-26T00:00:00+00:00,2024-09-02T00:00:00+00:00,2,PEPE-USDT,XMR-USDT,2,False,True,False,False,False,False
TOP_6,POST_WARMUP,2024-09-09T00:00:00+00:00,2024-09-09T00:00:00+00:00,1,GRAM-USDT;PEPE-USDT,FET-USDT;XMR-USDT,1,True,True,False,False,False,False
TOP_6,POST_WARMUP,2024-10-07T00:00:00+00:00,2024-10-07T00:00:00+00:00,1,PEPE-USDT,XMR-USDT,2,True,True,False,False,False,False
TOP_6,POST_WARMUP,2024-10-14T00:00:00+00:00,2024-10-14T00:00:00+00:00,1,PEPE-USDT;SUI-USDT,FET-USDT;TAO-USDT,1,True,True,False,False,False,False
